"kode_ruang","lokasi","lantai","keterangan"
"F11.1","Gedung F FILKOM","11","R. Kuliah FILKOM"
"F11.3","Gedung F FILKOM","11","R. Kuliah FILKOM"
"F11.4","Gedung F FILKOM","11","R. Kuliah FILKOM"
"F2.1","Gedung F FILKOM","2","R. Kuliah (Smart Class)"
"F2.2","Gedung F FILKOM","2","R. Kuliah (Smart Class)"
"F2.4","Gedung F FILKOM","2","R. Kuliah"
"F2.5","Gedung F FILKOM","2","R. Kuliah"
"F2.6","Gedung F FILKOM","2","R. Kuliah"
"F2.8","Gedung F FILKOM","2","R. Kuliah (Smart Class)"
"F2.9","Gedung F FILKOM","2","R. Kuliah (Smart Class)"
"F3.1","Gedung F FILKOM","3","R. Kuliah"
"F3.10","Gedung F FILKOM","3","R. Kuliah"
"F3.11","Gedung F FILKOM","3","R. Kuliah"
"F3.12","Gedung F FILKOM","3","R. Kuliah"
"F3.13","Gedung F FILKOM","3","R. Kuliah"
"F3.14","Gedung F FILKOM","3","R. Kuliah"
"F3.15","Gedung F FILKOM","3","R. Kuliah"
"F3.16","Gedung F FILKOM","3","R. Kuliah"
"F3.17","Gedung F FILKOM","3","R. Kuliah"
"F3.18","Gedung F FILKOM","3","R. Kuliah"
"F3.2","Gedung F FILKOM","3","R. Kuliah"
"F3.3","Gedung F FILKOM","3","R. Kuliah"
"F3.4","Gedung F FILKOM","3","R. Kuliah"
"F3.5a","Gedung F FILKOM","3","R. Kuliah"
"F3.5b","Gedung F FILKOM","3","R. Kuliah"
"F3.6","Gedung F FILKOM","3","R. Kuliah"
"F3.7a","Gedung F FILKOM","3","R. Kuliah"
"F3.7b","Gedung F FILKOM","3","R. Kuliah"
"F3.8","Gedung F FILKOM","3","R. Kuliah"
"F3.9","Gedung F FILKOM","3","R. Kuliah"
"F4.10","Gedung F FILKOM","4","R. Kuliah Junction"
"F4.11","Gedung F FILKOM","4","R. Kuliah Junction"
"F4.12","Gedung F FILKOM","4","R. Kuliah Junction"
"F4.13","Gedung F FILKOM","4","R. Kuliah Junction"
"F4.14","Gedung F FILKOM","4","R. Kuliah Junction"
"F4.2","Gedung F FILKOM","4","R. Kuliah"
"F4.3","Gedung F FILKOM","4","R. Kuliah"
"F4.4","Gedung F FILKOM","4","R. Kuliah"
"F4.5","Gedung F FILKOM","4","R. Kuliah"
"F4.6","Gedung F FILKOM","4","R. Kuliah"
"F4.7","Gedung F FILKOM","4","R. Kuliah"
"F4.9","Gedung F FILKOM","4","R. Kuliah Junction"
"F9.1","Gedung F FILKOM","9","Riset Rekayasa Perangkat Lunak"
"F9.2","Gedung F FILKOM","9","Riset Sistem Informasi"
